symbol,company_name,isin,series,market_cap_cr
BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021,EQ,0
BAJAJST,Bajaj Steel Industries Limited,INE704G01024,EQ,0
BAJEL,Bajel Projects Limited,INE0KQN01018,EQ,2296.01
BAJFINANCE,Bajaj Finance Limited,INE296A01032,EQ,571947.54
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,EQ,0
BALAJITELE,Balaji Telefilms Limited,INE794B01026,EQ,1077.01
BALAMINES,Balaji Amines Limited,INE050E01027,EQ,6921.83
BALAXI,BALAXI PHARMACEUTICALS LIMITED,INE618N01022,EQ,0
BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011,EQ,0
BALKRISIND,Balkrishna Industries Limited,INE787D01026,EQ,38906.05
BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016,EQ,2996.84
BALPHARMA,Bal Pharma Limited,INE083D01012,EQ,0
BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028,EQ,10897.25
BALUFORGE,Balu Forge Industries Limited,INE011E01029,EQ,5371.32
BANARBEADS,Banaras Beads Limited,INE655B01011,EQ,0
BANARISUG,Bannari Amman Sugars Limited,INE459A01010,EQ,4576.93
BANCOINDIA,Banco Products (I) Limited,INE213C01025,EQ,9868.14
BANDHANBNK,Bandhan Bank Limited,INE545U01014,EQ,32945.32
BANG,Bang Overseas Limited,INE863I01016,EQ,0
BANKA,Banka BioLoo Limited,INE862Y01015,EQ,0
BANKBARODA,Bank of Baroda,INE028A01039,EQ,142031.46
BANKINDIA,Bank of India,INE084A01016,EQ,66286.84
BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025,EQ,4746.78
BANSWRAS,Banswara Syntex Limited,INE629D01020,EQ,0
BASF,BASF India Limited,INE373A01013,EQ,14513.46
BASML,Bannari Amman Spinning Mills Limited,INE186H01022,BE,0
BATAINDIA,Bata India Limited,INE176A01028,EQ,8598.49
BATLIBOI,Batliboi Limited,INE177C01022,EQ,0
BAYERCROP,Bayer Cropscience Limited,INE462A01022,EQ,19101.74
BBL,Bharat Bijlee Limited,INE464A01036,EQ,3138.71
BBOX,Black Box Limited,INE676A01027,EQ,18079.6
BBTC,The Bombay Burmah Trading Corporation Limited,INE050A01025,EQ,10592.77
BBTCL,B&B Triplewall Containers Limited,INE01EE01011,EQ,0
BCG,Brightcom Group Limited,INE425B01027,EQ,2203.57
BCLIND,Bcl Industries Limited,INE412G01024,EQ,1116.01
BCONCEPTS,Brand Concepts Limited,INE977Y01011,EQ,0
BCPL,BCPL Railway Infrastructure Limited,INE00SW01015,EQ,0
BDL,Bharat Dynamics Limited,INE171Z01026,EQ,43974.67
BEARDSELL,Beardsell Limited,INE520H01022,EQ,0
BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01020,EQ,5582.62
BEDMUTHA,Bedmutha Industries Limited,INE844K01012,EQ,0
BEEKAY,Beekay Steel Industries Limited,INE213D01015,EQ,0
BEL,Bharat Electronics Limited,INE263A01024,EQ,297179.06
BELLACASA,Bella Casa Fashion & Retail Limited,INE344T01014,EQ,0
BELRISE,Belrise Industries Limited,INE894V01022,EQ,20298.14
BEML,BEML Limited,INE258A01024,EQ,14771.72
BENARAS,Benares Hotels Limited,INE664D01019,EQ,0
BENGALASM,Bengal & Assam Company Limited,INE083K01017,EQ,7385.96
